name,size,samples,splits,lang
arabench,7837368,42,1,ar
arabic_billion_words,16870246181,5370082,1,ar
brad_2,396674847,510599,1,ar
habibi,30257750,30072,1,ar
kalimat,94725838,18256,1,ar
ksucca,460038217,410,1,ar
labr,38192464,63257,1,ar
multi_un_2,2670175122,68870,1,ar
multilingual_knowledge_questions_answers,978953,10000,1,ar
open_subtitles,3691899354,94093,1,ar
openiti,17401602240,9874,1,ar
openiti_proc,14213998620,7145,1,ar
opus100,92706048,1004000,3,ar
osac,238021605,32265,1,ar
qedcorpus,10622059,1426,1,ar
sanad,581959127,195174,1,ar
tashkeela,1081110237,97,1,ar
ted_talks_iwslt,93467133,5392,1,ar
uncorpus,5173513262,116733,1,ar
ca_text_corpus,81543301,1088802,1,ca
catalan_general_crawling,2689414189,1016113,1,ca
catalan_government_crawling,258227474,71042,1,ca
catalan_textual_corpus,10890745832,12556364,1,ca
enriched_conllu_ancora_for_ml_training,2838436,16678,3,ca
open_subtitles,20400087,832,1,ca
opus100,45720300,1004000,3,ca
parlament_parla,54018089,230237,1,ca
sts_ca,718804,3028,1,ca
teca,4280947,21163,1,ca
tecla,322436076,137775,1,ca
ted_talks_iwslt,10341494,1031,1,ca
tv3_parla,25104846,161462,1,ca
vilaquad,2415762,2095,3,ca
viquiquad,2551354,3118,3,ca
xquad_ca,216096,240,1,ca
a_million_news_headlines_abc_australia,78784432,1226258,1,en
arxiv,191182889759,3121605,1,en
book_dash_books,88070,54,1,en
india_news_headlines_dataset,169088850,3424067,1,en
multi_un_2,2564843307,100373,1,en
multilingual_knowledge_questions_answers,741394,10000,1,en
odiencorp,8476701,82695,1,en
open_subtitles,13583312431,446612,1,en
pmc,118838497327,2625646,1,en
project_gutenberg,18787969556,50529,1,en
qedcorpus,138560357,19357,1,en
royal_society_corpus,403726752,17520,1,en
s2orc,135190623879,108157966,1,en
scielo,2785526,5,1,en
ted_talks_iwslt,65511039,5538,1,en
the_pile_enron_emails,980017810,517350,1,en
the_pile_europarl,334596910,4199,1,en
the_pile_stack_exchange,35312479112,15622475,1,en
the_pile_uspto,24989825244,5883037,1,en
uncorpus,4558764839,159318,1,en
multi_un_2,2297718298,74614,1,es
multilingual_knowledge_questions_answers,807322,10000,1,es
open_subtitles,7065199992,234457,1,es
opus100,71254311,1004000,3,es
project_gutenberg,289707919,707,1,es
qedcorpus,27963841,4506,1,es
scielo,22832426,55,1,es
ted_talks_iwslt,67403011,5480,1,es
the_pile_europarl,355996076,4216,1,es
uncorpus,4646021096,130261,1,es
bsbasque,1105192579,4466734,1,eu
open_subtitles,30477347,929,1,eu
opus100,57043549,1004000,3,eu
ted_talks_iwslt,1555594,146,1,eu
bnl_historical_newspapers,858329082,250115,1,fr
book_dash_books,20294,7,1,fr
ester,21164003,179608,1,fr
multi_un_2,2665006701,90841,1,fr
multilingual_knowledge_questions_answers,817854,10000,1,fr
open_subtitles,3608572488,127203,1,fr
opus100,107905577,1004000,3,fr
project_gutenberg,1317466511,3176,1,fr
qedcorpus,8282210,1234,1,fr
ted_talks_iwslt,81797420,6232,1,fr
the_pile_europarl,377048839,4144,1,fr
uncorpus,5333005747,158776,1,fr
indo4b,48259523287,346510801,1,id
indonesian_frog_storytelling_corpus,146572,24,1,id
indonesian_news_articles_2017,832010916,455678,1,id
indonesian_news_corpus,236313636,150466,1,id
indonli,3921895,17712,3,id
indosum,205954315,93870,3,id
open_subtitles,726419677,21628,1,id
opus100,41900995,1004000,3,id
recibrew,6481967,13600,1,id
ted_talks_iwslt,31375484,2898,1,id
twitter_covid19_indonesia_sentiment_analysis,2561948,15725,1,id
opus100,11577124,142479,3,indic-as
samanantar,11189395,68091,1,indic-as
ted_talks_iwslt,20396,3,1,indic-as
bangla_lm,14311316764,21171090,1,indic-bn
bangla_sentiment_classification_datasets,3426008,16860,1,indic-bn
bengali_question_answering,23700749,12922,2,indic-bn
indic_nlp_corpus,1562808480,7209184,1,indic-bn
mkb,1392895,5634,1,indic-bn
open_subtitles,42848908,542,1,indic-bn
opus100,180470150,1004000,3,indic-bn
pib,38043179,93560,1,indic-bn
samanantar,862843797,5968788,1,indic-bn
ted_talks_iwslt,5569915,243,1,indic-bn
indic_nlp_corpus,1809915926,7889815,1,indic-gu
mkb,1601995,6615,1,indic-gu
opus100,24133011,322306,3,indic-gu
pib,24042997,59739,1,indic-gu
samanantar,379692195,2632739,1,indic-gu
ted_talks_iwslt,1628937,66,1,indic-gu
hindi_wikipedia_articles,0,0,2,indic-hi
iitb_english_hindi_corpus,9710786380,45075242,1,indic-hi
indic_nlp_corpus,14167836773,62961411,1,indic-hi
lot_of_indic_tweets,3895001499,17654722,1,indic-hi
mkb,1281470,5272,1,indic-hi
open_subtitles,9486424,102,1,indic-hi
opus100,90144702,538319,3,indic-hi
pib,113729046,269594,1,indic-hi
qedcorpus,4772646,653,1,indic-hi
samanantar,1971207531,8314505,1,indic-hi
ted_talks_iwslt,13933590,654,1,indic-hi
indic_nlp_corpus,3293790175,14781846,1,indic-kn
opus100,1466438,16372,3,indic-kn
samanantar,595321690,3891654,1,indic-kn
ted_talks_iwslt,1202170,35,1,indic-kn
indic_nlp_corpus,3992234898,11665803,1,indic-ml
mkb,1500658,5017,1,indic-ml
open_subtitles,44840470,421,1,indic-ml
opus100,153231131,826746,3,indic-ml
pib,20499054,44986,1,indic-ml
samanantar,886777605,5012125,1,indic-ml
ted_talks_iwslt,2200885,68,1,indic-ml
indic_nlp_corpus,2398696742,9934816,1,indic-mr
mkb,1507525,5867,1,indic-mr
opus100,2251271,31007,3,indic-mr
pib,46282146,117199,1,indic-mr
samanantar,502539104,3047226,1,indic-mr
ted_talks_iwslt,5777432,272,1,indic-mr
unsupervised_cross_lingual_representation_learning_at_scale,4089717751,12732810,1,indic-ne
indic_nlp_corpus,863081140,3594673,1,indic-or
mkb,189770,768,1,indic-or
odiencorp,27472572,82695,1,indic-or
opus100,1296912,16908,3,indic-or
pib,36244896,98230,1,indic-or
samanantar,142045048,860206,1,indic-or
indic_nlp_corpus,2163510409,6557208,1,indic-pa
opus100,5929407,111296,3,indic-pa
pib,39834120,103296,1,indic-pa
samanantar,482350183,2472840,1,indic-pa
ted_talks_iwslt,2643,3,1,indic-pa
