dataset_name,--dedups,--maps-and-filters argument,--filter-short-documents,--preprocessings,Reasons to remove
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_ar_wikiversity_filtered/data,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_ar_arabench,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_ar_qedcorpus,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_ar_wikiquote_filtered/data,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_ar_wikibooks_filtered/data,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_ar_habibi,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_ar_wikinews_filtered/data,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_ar_labr,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_ar_wiktionary_filtered/data,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs split_sentences_ar dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_ar_opus100,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_ar_ted_talks_iwslt,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
